year,make,model,body_styles,sub_models
2004,Acura,MDX,"[""SUV""]"
2004,Acura,NSX,"[""Coupe""]"
2004,Acura,RL,"[""Sedan""]"
2004,Acura,RSX,"[""Coupe""]"
2004,Acura,TL,"[""Sedan""]"
2004,Acura,TSX,"[""Sedan""]"
2004,Audi,A4,"[""Convertible"",""Wagon"",""Sedan""]"
2004,Audi,A6,"[""Wagon"",""Sedan""]"
2004,Audi,A8,"[""Sedan""]"
2004,Audi,allroad,"[""Wagon""]"
2004,Audi,S4,"[""Wagon"",""Convertible"",""Sedan""]"
2004,Audi,TT,"[""Convertible"",""Coupe""]"
2004,BMW,3 Series,"[""Sedan"",""Coupe"",""Convertible"",""Wagon""]"
2004,BMW,5 Series,"[""Sedan""]"
2004,BMW,6 Series,"[""Convertible"",""Coupe""]"
2004,BMW,7 Series,"[""Sedan""]"
2004,BMW,M3,"[""Convertible"",""Coupe""]"
2004,BMW,X3,"[""SUV""]"
2004,BMW,X5,"[""SUV""]"
2004,BMW,Z4,"[""Convertible""]"
2004,Buick,Century,"[""Sedan""]"
2004,Buick,LeSabre,"[""Sedan""]"
2004,Buick,Park Avenue,"[""Sedan""]"
2004,Buick,Rainier,"[""SUV""]"
2004,Buick,Regal,"[""Sedan""]"
2004,Buick,Rendezvous,"[""SUV""]"
2004,Cadillac,CTS,"[""Sedan""]"
2004,Cadillac,DeVille,"[""Sedan""]"
2004,Cadillac,Escalade,"[""SUV""]"
2004,Cadillac,Escalade ESV,"[""SUV""]"
2004,Cadillac,Escalade EXT,"[""Pickup""]"
2004,Cadillac,Seville,"[""Sedan""]"
2004,Cadillac,SRX,"[""SUV""]"
2004,Cadillac,XLR,"[""Convertible""]"
2004,Chevrolet,Astro,"[""Van/Minivan""]"
2004,Chevrolet,Avalanche,"[""Pickup""]"
2004,Chevrolet,Aveo,"[""Sedan"",""Hatchback""]"
2004,Chevrolet,Blazer,"[""SUV""]"
2004,Chevrolet,Cavalier,"[""Sedan"",""Coupe""]"
2004,Chevrolet,Classic,"[""Sedan""]"
2004,Chevrolet,Colorado,"[""Pickup""]"
2004,Chevrolet,Corvette,"[""Convertible"",""Coupe""]"
2004,Chevrolet,Express 1500,"[""Van/Minivan""]"
2004,Chevrolet,Express 2500,"[""Van/Minivan""]"
2004,Chevrolet,Express 3500,"[""Van/Minivan""]"
2004,Chevrolet,Impala,"[""Sedan""]"
2004,Chevrolet,Malibu,"[""Hatchback"",""Sedan""]"
2004,Chevrolet,Monte Carlo,"[""Coupe""]"
2004,Chevrolet,S10,"[""Pickup""]"
2004,Chevrolet,Silverado 1500,"[""Pickup""]"
